0,10,20,30,40,53,62,73,84,126,139,147,160
10,0,10,20,30,43,52,63,74,117,130,138,151
20,10,0,10,20,33,42,53,64,108,121,129,141
30,20,10,0,10,23,32,43,54,101,114,122,135
40,30,20,10,0,13,22,33,44,97,110,117,130
53,43,33,23,13,0,9,20,31,89,101,108,121
62,52,42,32,22,9,0,11,22,82,94,100,113
73,63,53,43,33,20,11,0,12,77,89,95,107
84,74,64,54,44,31,22,12,0,78,88,93,105
126,117,108,101,97,89,82,77,78,0,13,21,34
139,130,121,114,110,101,94,89,88,13,0,9,21
147,138,129,122,117,108,100,95,93,21,9,0,13
160,151,141,135,130,121,113,107,105,34,21,13,0
